a	aː
eytt	ei h t
Eyvindarson	eiː v ɪ n t a r s ɔː n
Eyvindsson	eiː v ɪ n t s ɔː n
Eyvindur	eiː v ɪ n t ʏ r
Eyþór	eiː θ ou r
Eyþóri	eiː θ ou r ɪ
Eyþórs	eiː θ ou r̥ s
Eyþórsdóttir	eiː θ ou r̥ s t ou h t ɪ r
Eyþórsson	eiː θ ou r̥ s ɔː n
é	j ɛː
ég	j ɛː ɣ
él	j ɛː l
éljum	j ɛ l j ʏ m
ét	j ɛː t
éta	j ɛː t a
éti	j ɛː t ɪ
étið	j ɛː t ɪ ð
étin	j ɛː t ɪ n
étinn	j ɛː t ɪ n
étur	j ɛː t ʏ r
faðerni	f aː ð ɛ r t n ɪ
faðir	f aː ð ɪ r
faðirinn	f aː ð ɪ r ɪ n
faðirvorið	f aː ð ɪ r v ɔː r ɪ ð
faðm	f a ð m
faðma	f a ð m a
faðmaði	f a ð m a ð ɪ
faðmar	f a ð m a r
faðmi	f a ð m ɪ
faðminn	f a ð m ɪ n
faðmlag	f a ð m l a ɣ
faðmlagi	f a ð m l ai j ɪ
faðmlagið	f a ð m l ai j ɪ ð
faðmlögin	f a ð m l œy j ɪ n
faðmlögum	f a ð m l œ ɣ ʏ m
faðmur	f a ð m ʏ r
fag	f aː ɣ
fagaðila	f aː ɣ a ð ɪ l a
fagaðilum	f aː ɣ a ð ɪ l ʏ m
fagfjárfesta	f a x f j au r f ɛ s t a
fagfjárfestum	f a ɣ f j au r f ɛ s t ʏ m
fagfólk	f a x f ou l̥ k
fagfólki	f a x f ou l̥ c ɪ
fagfólks	f a x f ou l̥ k s
fagi	f ai j ɪ
fagið	f ai j ɪ ð
faginu	f ai j ɪ n ʏ
fagleg	f a ɣ l ɛ ɣ
faglega	f a ɣ l ɛ ɣ a
faglegan	f a ɣ l ɛ ɣ a n
faglegri	f a ɣ l ɛ ɣ r ɪ
faglegt	f a ɣ l ɛ x t
faglegu	f a ɣ l ɛ ɣ ʏ
faglegum	f a ɣ l ɛ ɣ ʏ m
fagmaður	f a ɣ m a ð ʏ r
fagmanna	f a ɣ m a n a
fagmannlega	f a ɣ m a n l ɛ ɣ a
fagmannlegum	f a ɣ m a n l ɛ ɣ ʏ m
fagmenn	f a ɣ m ɛ n
fagmennsku	f a ɣ m ɛ n s k ʏ
fagna	f a k n a
fagnað	f a k n a ð
fagnaðar	f a k n a ð a r
fagnaðarbjarma	f a k n a ð a r p j a r m a
fagnaðarefni	f a k n a ð a r ɛ p n ɪ
fagnaðarerindið	f a k n a ð a r ɛː r ɪ n t ɪ ð
fagnaðarfundir	f a k n a ð a r f ʏ n t ɪ r
fagnaðarfundur	f a k n a ð a r f ʏ n t ʏ r
fagnaðarlátum	f a k n a ð a r l auː t ʏ m
fagnaðarlæti	f a k n a ð a r l aiː t ɪ
fagnaðarlætin	f a k n a ð a r l aiː t ɪ n
fagnaðaróp	f a k n a ð a r ouː p
fagnaði	f a k n a ð ɪ
fagnandi	f a k n a n t ɪ
fagnar	f a k n a r
fagni	f a k n ɪ
fagott	f aː k ɔ h t
fagra	f a ɣ r a
Fagradal	f a ɣ r a t aː l
Fagrahvammi	f a ɣ r a k v a m ɪ
fagrar	f a ɣ r a r
fagri	f a ɣ r ɪ
fagrir	f a ɣ r ɪ r
fagstétt	f a ɣ s t j ɛ h t
fagstjóra	f a x s t j ou r a
fagstjóri	f a x s t j ou r ɪ
fagurfræði	f aː ɣ ʏ r f r aiː ð ɪ
fagurkeri	f aː ɣ ʏ r c ɛː r ɪ
fagurlega	f aː ɣ ʏ r l ɛ ɣ a
fagurt	f aː ɣ ʏ r̥ t
falast	f aː l a s t
falda	f a l t a
faldar	f a l t a r
faldi	f a l t ɪ
faldinn	f a l t ɪ n
faldinum	f a l t ɪ n ʏ m
faldir	f a l t ɪ r
falið	f aː l ɪ ð
falin	f aː l ɪ n
falinn	f aː l ɪ n
falist	f aː l ɪ s t
fall	f a t l̥
falla	f a t l a
fallandi	f a t l a n t ɪ
fallast	f a t l a s t
fallbaráttuna	f a t l̥ p aː r au h t ʏ n a
fallbyssum	f a t l̥ p ɪ s ʏ m
fallbyssur	f a t l̥ p ɪ s ʏ r
fallbyssuskotin	f a t l̥ p ɪ s ʏ s k ɔː t ɪ n
falleg	f a t l ɛ ɣ
fallega	f a t l ɛ ɣ a
fallegan	f a t l ɛ ɣ a n
fallegar	f a t l ɛ ɣ a r
fallegasta	f a t l ɛ ɣ a s t a
fallegasti	f a t l ɛ ɣ a s t ɪ
fallegastur	f a t l ɛ ɣ a s t ʏ r
fallegi	f a t l ei j ɪ
fallegir	f a t l ei j ɪ r
fallegra	f a t l ɛ ɣ r a
fallegri	f a t l ɛ ɣ r ɪ
fallegt	f a t l ɛ x t
fallegu	f a t l ɛ ɣ ʏ
fallegum	f a t l ɛ ɣ ʏ m
fallegur	f a t l ɛ k ʏ r
fallegust	f a t l ɛ ɣ ʏ s t
fallegustu	f a t l ɛ ɣ ʏ s t ʏ
falli	f a t l ɪ
fallið	f a t l ɪ ð
fallin	f a t l ɪ n
fallinn	f a t l ɪ n
fallinu	f a t l ɪ n ʏ
fallist	f a t l ɪ s t
fallna	f a t l̥ n a
fallnar	f a t l̥ n a r
fallnir	f a t l̥ n ɪ r
fallorð	f a t l ɔ r ð
falls	f a l s
fallsins	f a l s ɪ n s
fallvörn	f a t l̥ v œ r t n̥
falsa	f a l s a
falsað	f a l s a ð
falsettu	f a l s ɛ h t ʏ
falsgoð	f a l s k ɔ ð
falska	f a l s k a
falskar	f a l s k a r
falskt	f a l s t
falskur	f a l s k ʏ r
falsráðin	f a l s r au ð ɪ n
falt	f a l̥ t
falur	f aː l ʏ r
fang	f au ŋ k
fanga	f au ŋ k a
fangabúðir	f au ŋ k a p uː ð ɪ r
fangabúðum	f au ŋ k a p uː ð ʏ m
fangabúðunum	f au ŋ k a p uː ð ɔ n ʏ m
fangað	f au ŋ k a ð
fangaði	f au ŋ k a ð ɪ
fangageymslu	f au ŋ k a c ei m s t l ʏ
fangaklefa	f au ŋ k a k l ɛː v a
fangana	f au ŋ k a n a
fangann	f au ŋ k a n
fanganna	f au ŋ k a n a
fangar	f au ŋ k a r
fangarnir	f au ŋ k a t n ɪ r
fangavagninum	f au ŋ k a v a k n ɪ n ʏ m
fangavaktin	f au ŋ k a v a x t ɪ n
fangaverðirnir	f au ŋ k a v ɛ r ð ɪ t n ɪ r
fangavörðurinn	f au ŋ k a v œ r ð ʏ r ɪ n
fangelsaður	f au ɲ c ɛ l s a ð ʏ r
fangelsi	f au ɲ c ɛ l s ɪ
fangelsið	f au ɲ c ɛ l s ɪ ð
fangelsinu	f au ɲ c ɛ l s ɪ n ʏ
fangelsisvist	f au ɲ c ɛ l s ɪ s v ɪ s t
fangelsisvistar	f au ɲ c ɛ l s ɪ s v ɪ s t a r
fangelsisyfirvalda	f au ɲ c ɛ l s ɪ s ɪː v ɪ r v a l t a
fangelsisyfirvöldin	f au ɲ c ɛ l s ɪ s ɪː v ɪ r v œ l t ɪ n
fangelsum	f au ɲ c ɛ l s ʏ m
fanghlutfallið	f au ŋ k l̥ ʏ t f a t l ɪ ð
fangi	f au ɲ c ɪ
fangið	f au ɲ c ɪ ð
fanginn	f au ɲ c ɪ n
fanginni	f au ɲ c ɪ n ɪ
fanginu	f au ɲ c ɪ n ʏ
fann	f a n
Fannafold	f a n a f ɔ l t
Fannar	f a n a r
Fannari	f a n a r ɪ
Fannars	f a n a r̥ s
fanndals	f a n t a l s
Fanney	f a n ei
Fanneyju	f a n ei j ʏ
fannst	f a n s t
Fanný	f a n i
fanta	f a n̥ t a
fantasíu	f a n̥ t a s i j ʏ
fantinn	f a n̥ t ɪ n
fantur	f a n̥ t ʏ r
fara	f aː r a
faraldsfæti	f aː r a l t s f aiː t ɪ
faraldur	f aː r a l t ʏ r
farandbikar	f aː r a n t p ɪː k a r
farandbikarinn	f aː r a n t p ɪ k a r ɪ n
farangri	f aː r au ŋ k r ɪ
farangrinum	f aː r au ŋ k r ɪ n ʏ m
farangur	f aː r au ŋ k ʏ r
farangurinn	f aː r au ŋ k ʏ r ɪ n
farar	f aː r a r
fararbroddi	f aː r a r p r ɔ t ɪ
fararinnar	f aː r a r ɪ n a r
fararsnið	f aː r a r s t n ɪː ð
fararstjóra	f aː r a r s t j ouː r a
fararstjóri	f aː r a r s t j ouː r ɪ
fararstjórinn	f aː r a r s t j ouː r ɪ n
fararstjórn	f aː r a r s t j ou r t n̥
farartálmi	f aː r a r t au l m ɪ
farartæki	f aː r a r t aiː c ɪ
farartækið	f aː r a r t aiː c ɪ ð
farartækjum	f aː r a r t aiː c ʏ m
farast	f aː r a s t
farborða	f a r p ɔ r ð a
farðalaust	f a r ð a l œy s t
farðu	f a r ð ʏ
farfugl	f a r f ʏ k l̥
farfugla	f a r f ʏ k l a
farg	f a r k
farga	f a r k a
fargað	f a r k a ð
fargi	f a r c ɪ
fargjald	f a r c a l t
fargjöld	f a r c œ l t
fari	f aː r ɪ
farið	f aː r ɪ ð
fariði	f aː r ɪ ð ɪ
farin	f aː r i n
farinn	f aː r i n
farinu	f aː r ɪ n ʏ
farir	f aː r ɪ r
farist	f aː r ɪ s t
farlama	f a r l a m a
farm	f a r m
farma	f a r m a
farmanna	f a r m a n a
farmiða	f a r m ɪ ð a
farminn	f a r m ɪ n
farminum	f a r m ɪ n ʏ m
farmurinn	f a r m ʏ r ɪ n
farnar	f a r t n a r
farnast	f a r t n a s t
farnir	f a r t n ɪ r
farrými	f a r i m ɪ
farrýmis	f a r i m ɪ s
fars	f a r̥ s
farsa	f a r̥ s a
farsíma	f a r̥ s i m a
farsímakerfi	f a r̥ s i m a c ɛ r v ɪ
farsímanet	f a r̥ s i m a n ɛː t
farsímann	f a r̥ s i m a n
farsímanotkun	f a r̥ s i m a n ɔ t k ʏ n
farsímanum	f a r̥ s i m a n ʏ m
farsímar	f a r̥ s i m a r
farsímaþjónustu	f a r̥ s i m a θ j ouː n ʏ s t ʏ
farsími	f a r̥ s i m ɪ
farsímum	f a r̥ s i m ʏ m
farskökuna	f a r̥ s k œː k ʏ n a
farsótt	f a r̥ s ou h t
farsóttarheimilinu	f a r̥ s ou h t a r h eiː m ɪ l ɪ n ʏ
farsæl	f a r̥ s ai l
farsæla	f a r̥ s ai l a
farsælan	f a r̥ s ai l a n
farsæld	f a r̥ s ai l t
farsældar	f a r̥ s ai l t a r
farsæll	f a r̥ s ai t l̥
farsælla	f a r̥ s ai t l a
farsællega	f a r̥ s ai l ɛ ɣ a
farsælli	f a r̥ s ai t l ɪ
farsælt	f a r̥ s ai l̥ t
farsælu	f a r̥ s ai l ʏ
farsælum	f a r̥ s ai l ʏ m
farteskinu	f a r̥ t ɛ s c ɪ n ʏ
fartíma	f a r tʰ iː m a
fartölva	f a r̥ tʰ œ l v a
fartölvu	f a r̥ t œ l v ʏ
fartölvukort	f a r̥ tʰ œ l v ʏ kʰ ɔ r̥ t
fartölvum	f a r̥ tʰ œ l v ʏ m
fartölvuna	f a r̥ t œ l v ʏ n a
fartölvunotendur	f a r̥ tʰ œ l v ʏ n ɔː t ɛ n t ʏ r
fartölvur	f a r̥ t œ l v ʏ r
fartölvuvagn	f a r̥ tʰ œ l v ʏ v a k n̥
farvatninu	f a r v a h t n ɪ n ʏ
farveg	f a r v ɛ ɣ
farvegi	f a r v ei j ɪ
farvegur	f a r v ɛ ɣ ʏ r
farþega	f a r̥ θ ɛ ɣ a
farþegamegin	f a r̥ θ ɛ ɣ a m ei j ɪ n
farþegana	f a r̥ θ ɛ ɣ a n a
farþeganna	f a r̥ θ ɛ ɣ a n a
farþegar	f a r̥ θ ɛ ɣ a r
farþegarnir	f a r̥ θ ɛ ɣ a t n ɪ r
farþegaskip	f a r̥ θ ɛ ɣ a s c ɪ p
farþegasætið	f a r̥ θ ɛ ɣ a s aiː t ɪ ð
farþegasætinu	f a r̥ θ ɛ ɣ a s aiː t ɪ n ʏ
farþegi	f a r̥ θ ei j ɪ
farþegum	f a r̥ θ ɛ ɣ ʏ m
farþegunum	f a r̥ θ ɛ ɣ ɔ n ʏ m
fas	f aː s
fasani	f aː s a n ɪ
fasi	f aː s ɪ
fasið	f aː s ɪ ð
fasismans	f aː s ɪ s m a n s
fasismanum	f aː s ɪ s m a n ʏ m
fasista	f aː s ɪ s t a
fasistana	f aː s ɪ s t a n a
fasistanna	f aː s ɪ s t a n a
fasistar	f aː s ɪ s t a r
fasisti	f aː s ɪ s t ɪ
fast	f a s t
fasta	f a s t a
fastafulltrúaráðsins	f a s t a f ʏ t l̥ tʰ r u a r au ð s ɪ n s
fastagestur	f a s t a c ɛ s t ʏ r
fastamaður	f a s t a m aː ð ʏ r
fastamönnum	f a s t a m œ n ʏ m
fastan	f a s t a n
fastandi	f a s t a n t ɪ
fastar	f a s t a r
fastari	f a s t a r ɪ
fastast	f a s t a s t
fastastjörnurnar	f a s t a s t j œ r t n ʏ t n a r
fastasvefni	f a s t a s v ɛ p n ɪ
fastayrðing	f a s t a ɪ r ð i ŋ k
fastefna	f a s t ɛ p n a
fastefnisskilvindur	f a s t ɛ p n ɪ s c ɪ l v ɪ n t ʏ r
fasteign	f a s t ei k n̥
fasteigna	f a s t ei k n a
fasteignaeigendum	f a s t ei k n a eiː ɣ ɛ n t ʏ m
fasteignagjalda	f a s t ei k n a c a l t a
fasteignagjaldanna	f a s t ei k n a c a l t a n a
fasteignagjöld	f a s t ei k n a c œ l t
fasteignamarkaði	f a s t ei k n a m a r̥ k a ð ɪ
fasteignamarkaðinum	f a s t ei k n a m a r̥ k a ð ɪ n ʏ m
fasteignamarkaðnum	f a s t ei k n a m a r̥ k a ð n ʏ m
fasteignamat	f a s t ei k n a m aː t
fasteignamati	f a s t ei k n a m aː t ɪ
fasteignamats	f a s t ei k n a m a t s
fasteignar	f a s t ei k n a r
fasteignasala	f a s t ei k n a s aː l a
fasteignasalan	f a s t ei k n a s aː l a n
fasteignasalans	f a s t ei k n a s aː l a n s
fasteignasali	f a s t ei k n a s aː l ɪ
fasteignasölu	f a s t ei k n a s œː l ʏ
fasteignasölum	f a s t ei k n a s œː l ʏ m
fasteignasölunni	f a s t ei k n a s œː l ʏ n ɪ
fasteignaveðbréfinu	f a s t ei k n a v ɛ ð p r j ɛ v ɪ n ʏ
fasteignaveðbréfsins	f a s t ei k n a v ɛ ð p r j ɛ f s ɪ n s
fasteignaverð	f a s t ei k n a v ɛ r ð
fasteignaverði	f a s t ei k n a v ɛ r ð ɪ
fasteigninni	f a s t ei k n ɪ n ɪ
fasteignir	f a s t ei k n ɪ r
fasteignum	f a s t ei k n ʏ m
fastir	f a s t ɪ r
fastlega	f a s t l ɛ ɣ a
fastmæltur	f a s t m ai l̥ t ʏ r
fastmælum	f a s t m ai l ʏ m
fastra	f a s t r a
fastráðinn	f a s t r au ð ɪ n
fastráðnir	f a s t r au ð n ɪ r
fastri	f a s t r ɪ
fastur	f a s t ʏ r
fat	f aː t
fata	f aː t a
fatadagur	f aː t a t aː ɣ ʏ r
fatah	f aː t a h
fatahengi	f aː t a h ei ɲ c ɪ
fatahengið	f aː t a h ei ɲ c ɪ ð
fatahenginu	f aː t a h ei ɲ c ɪ n ʏ
fataherbergi	f aː t a h ɛ r p ɛ c ɪ
fatahönnun	f aː t a h œ n ʏ n
fatakynningu	f aː t a cʰ ɪ n i ŋ k ʏ
fatamóttaka	f aː t a m ouː t a k a
fatanna	f aː t a n a
fatapeninga	f aː t a pʰ ɛ n i ŋ k a
fataskáp	f aː t a s k auː p
fataskápnum	f aː t a s k au h p n ʏ m
fataskipti	f aː t a s c ɪ f t ɪ
fatið	f aː t ɪ ð
fatinu	f aː t ɪ n ʏ
fatla	f a h t l a
fatlað	f a h t l a ð
fatlaða	f a h t l a ð a
fatlaðir	f a h t l a ð ɪ r
fatlaðra	f a h t l a ð r a
fatlana	f a h t l a n a
fatnað	f a h t n a ð
fatnaði	f a h t n a ð ɪ
fatnaður	f a h t n a ð ɪ
fatta	f a h t a
fattað	f a h t a ð
fattar	f a h t a r
fautinn	f œyː t ɪ n
fax	f a k s
faxa	f a k s a
faxað	f a k s a ð
Faxafen	f a k s a f ɛː n
Faxafeni	f a k s a f ɛː n ɪ
Faxaflóa	f a k s a f l ouː a
Faxaflói	f a k s a f l ouː ɪ
faxið	f a k s ɪ ð
fáa	f auː a
fáanleg	f auː a n l ɛ ɣ
fáanlegar	f auː a n l ɛ ɣ a r
fáanlegt	f auː a n l ɛ x t
fáanlegu	f auː a n l ɛː ɣ ʏ
fáanlegur	f auː a n l ɛ ɣ ʏ r
fáar	f auː a r
fábjána	f auː p j au n a
fábjáni	f auː p j au n ɪ
fábreytilegt	f auː p r ei t ɪ l ɛ x t
fábrotið	f auː p r ɔ t ɪ ð
fábrotin	f auː p r ɔ t ɪ n
fábrotna	f auː p r ɔ h t n a
fábrotnu	f auː p r ɔ h t n ʏ
fádæma	f auː t ai m a
fáðu	f auː ð ʏ
fáein	f auː ei n
fáeina	f auː ei n a
fáeinar	f auː ei n a r
fáeinir	f auː ei n ɪ r
fáeinum	f auː ei n ʏ m
fáfróður	f auː f r ou ð ʏ r
fáfræði	f auː f r ai ð ɪ
fágað	f auː a ð
fágaða	f auː a ð a
fágaðir	f auː a ð ɪ r
fágaðri	f auː a ð r ɪ
fágaður	f auː a ð ʏ r
fáguð	f auː ʏ ð
fágun	f auː ʏ n
fágæt	f auː c ai t
fágæta	f auː c ai t a
fágætt	f auː c ai h t
fágætu	f auː c ai t ʏ
fáið	f auː ɪ ð
fáir	f auː ɪ r
fáist	f auː ɪ s t
Fákafeni	f auː k a f ɛː n ɪ
fákeppni	f auː c ɛ h p n ɪ
fáki	f auː c ɪ
fáklædd	f auː k l ai t
fáks	f au k s
fáleikum	f auː l ei k ʏ m
fálka	f au l̥ k a
Fálkagötu	f au l̥ k a k œː t ʏ
fálkann	f au l̥ k a n
fálki	f au l̥ c ɪ
fálkinn	f au l̥ c ɪ n
fálmandi	f au l m a n t ɪ
fálmar	f au l m a r
fálmi	f au l m ɪ
fálmuðu	f au l m ʏ ð ʏ
fálæti	f auː l ai t ɪ
fámál	f auː m au l
fámáll	f auː m au t l̥
fámenn	f auː m ɛ n
fámenna	f auː m ɛ n a
fámennari	f auː m ɛ n a r ɪ
fámennt	f auː m ɛ n̥ t
fámennum	f auː m ɛ n ʏ m
fámennur	f auː m ɛ n ʏ r
fána	f auː n a
fánann	f auː n a n
fánanum	f auː n a n ʏ m
fánar	f auː n a r
fáni	f auː n ɪ
fáninn	f auː n ɪ n
fánum	f auː n ʏ m
fáráðlingur	f auː r au ð l i ŋ k ʏ r
fáránleg	f auː r au n l ɛ ɣ
fáránlega	f auː r au n l ɛ ɣ a
fáránlegar	f auː r au n l ɛ ɣ a r
fáránlegri	f auː r au n l ɛ ɣ r ɪ
fáránlegt	f auː r au n l ɛ x t
fáránlegu	f auː r au n l ɛ ɣ ʏ
fáránlegum	f auː r au n l ɛ ɣ ʏ m
fáránlegur	f auː r au n l ɛ ɣ ʏ r
fáránleika	f auː r au n l ei k a
fárra	f au r a
fársjúk	f au r̥ s j u k
fárveikur	f au r v ei k ʏ r
fárviðri	f au r v ɪ ð r ɪ
fásinna	f auː s ɪ n a
fáskiptinn	f auː s c ɪ f t ɪ n
fáti	f auː t ɪ
fátíð	f auː t i ð
fátítt	f auː t i h t
fátt	f au h t
fátæk	f auː t ai k
fátæka	f auː t ai k a
fátækari	f auː t ai k a r ɪ
fátækrafulltrúa	f auː t ai k r a f ʏ t l̥ t r u a
fátækrafulltrúi	f auː t ai k r a f ʏ t l̥ t r u ɪ
fátækrahverfi	f auː t ai k r a k v ɛ r v ɪ
fátækt	f auː t ai x t
fátæktar	f auː t ai x t a r
fátæktin	f auː t ai x t ɪ n
fátæktinni	f auː t ai x t ɪ n ɪ
fátæku	f auː t ai k ʏ
fátækum	f auː t ai k ʏ m
fátækur	f auː t ai k ʏ r
fátækustu	f auː t ai k ʏ s t ʏ
fáu	f auː ʏ
fáum	f auː ʏ m
fáviska	f auː v ɪ s k a
fávisku	f auː v ɪ s k ʏ
fávita	f auː v ɪ t a
fávitar	f auː v ɪ t a r
fávís	f auː v i s
febrúar	f ɛː p r u a r
febrúarmánuði	f ɛː p r u a r m auː n ʏ ð ɪ
feðga	f ɛ ð k a
feðgar	f ɛ ð k a r
feðgarnir	f ɛ ð k a t n ɪ r
feðginin	f ɛ ð c ɪ n ɪ n
feðgum	f ɛ ð k ʏ m
feðra	f ɛ ð r a
feðranna	f ɛ ð r a n a
feðraorlofinu	f ɛ ð r a ɔ r l ɔ v ɪ n ʏ
feðraorlofs	f ɛ ð r a ɔ r l ɔ f s
feðrum	f ɛ ð r ʏ m
fegin	f ei j ɪ n
feginleik	f ei j ɪ n l ei k
feginn	f ei j ɪ n
fegins	f ei j ɪ n s
feginsamlega	f ei j ɪ n s a m l ɛ ɣ a
fegnir	f ei k n ɪ r
fegra	f ɛ ɣ r a
fegri	f ɛ ɣ r ɪ
fegurð	f ɛː ɣ ʏ r ð
fegurðar	f ɛː ɣ ʏ r ð a r
fegurðarsamkeppni	f ɛː ɣ ʏ r ð a r s a m c ɛ h p n ɪ
fegurðarsamkeppnir	f ɛː ɣ ʏ r ð a s a m cʰ ɛ h p n ɪ r
fegurðarskyn	f ɛː ɣ ʏ r ð a s c ɪ n
fegurðin	f ɛː ɣ ʏ r ð ɪ n
fegurðina	f ɛː ɣ ʏ r ð ɪ n a
fegurra	f ɛː ɣ ʏ r a
fegurri	f ɛː ɣ ʏ r ɪ
fegurst	f ɛː ɣ ʏ r s t
fegursta	f ɛː ɣ ʏ r s t a
fegurstu	f ɛː ɣ ʏ r s t ʏ
feikilega	f eiː c ɪ l ɛ ɣ a
feikna	f ei h k n a
feimin	f eiː m ɪ n
feiminn	f eiː m ɪ n
feimna	f ei m n a
feimnar	f ei m n a r
feimni	f ei m n ɪ
feimnina	f ei m n ɪ n a
feimnir	f ei m n ɪ r
feimnismál	f ei m n ɪ s m auː l
feit	f eiː t
feitan	f eiː t a n
feitar	f eiː t a r
feitari	f eiː t a r ɪ
feitir	f eiː t ɪ r
feitlagin	f eiː t l ai j ɪ n
feitlaginn	f eiː t l ai j ɪ n
feitlagna	f ei t l a k n a
feitletraður	f eiː t l ɛ t r a ð ʏ r
feitt	f ei h t
feitu	f eiː t ʏ
feitum	f eiː t ʏ m
feitur	f eiː t ʏ r
fel	f ɛː l
fela	f ɛː l a
felast	f ɛː l a s t
feld	f ɛ l t
feldi	f ɛ l t ɪ
feldinn	f ɛ l t i n
feldinum	f ɛ l t ɪ n ʏ m
feldspat	f ɛ l t s p a t
feldur	f ɛ l t ʏ r
feldurinn	f ɛ l t ʏ r ɪ n
felgunni	f ɛ l k ʏ n ɪ
felgur	f ɛ l k ʏ r
felgurnar	f ɛ l k ʏ t n a r
feli	f ɛː l ɪ
felist	f ɛː l ɪ s t
Felix	f ɛː l ɪ k s
Felixson	f ɛː l ɪ k s ɔː n
fella	f ɛ t l a
felldar	f ɛ l t a r
felldi	f ɛ l t ɪ
felldir	f ɛ l t ɪ r
felldu	f ɛ l t ʏ
felldur	f ɛ l t ʏ r
felli	f ɛ t l ɪ
fellibylsins	f ɛ t l ɪ p ɪ l s ɪ n s
fellibylur	f ɛ t l ɪ p ɪ l ʏ r
fellihjólhýsi	f ɛ t l ɪ ç ou l h i s ɪ
fellihýsi	f ɛ t l ɪ h iː s ɪ
fellihýsið	f ɛ t l ɪ h iː s ɪ
fellihýsinu	f ɛ t l ɪ h iː s ɪ n ʏ
fellingar	f ɛ t l i ŋ k a r
fellingum	f ɛ t l i ŋ k ʏ m
fellinu	f ɛ t l ɪ n ʏ
fellir	f ɛ t l ɪ r
fellsbrotið	f ɛ l s p r ɔ t ɪ ð
Fellsmúla	f ɛ l s m u l a
fellst	f ɛ l s t
fellt	f ɛ l̥ t
fellur	f ɛ t l ʏ r
felmtruð	f ɛ l̥ m̥ t r ʏ ð
felst	f ɛ l s t
felum	f ɛː l ʏ m
felumara	f ɛː l ʏ m a r a
felur	f ɛː l ʏ r
felustaður	f ɛː l ʏ s t aː ð ʏ r
fen	f ɛː n
Feneyja	f ɛː n ei j a
Feneyjum	f ɛː n ei j ʏ m
feng	f ei ŋ k
fengi	f ei ɲ c ɪ
fengið	f ei ɲ c ɪ ð
fenginn	f ei ɲ c ɪ n
fenginni	f ei ɲ c ɪ n ɪ
fengir	f ei ɲ c ɪ r
fengist	f ei ɲ c ɪ s t
fengju	f ei ɲ c ʏ
fengjuð	f ei ɲ c ʏ ð
fengjum	f ei ɲ c ʏ m
fengjust	f ei ɲ c ʏ s t
fengnar	f ei ŋ n a r
fengnir	f ei ŋ n ɪ r
fengnu	f ei ŋ n ʏ
fengnum	f ei ŋ n ʏ m
fenguð	f ei ŋ k ʏ ð
fengum	f ei ŋ k ʏ m
fengur	f ei ŋ k ʏ r
fengust	f ei ŋ k ʏ s t
fenið	f ɛː n ɪ ð
fenjagras	f ɛ n j a k r a s
fenjum	f ɛ n j ʏ m
fennir	f ɛ n ɪ r
fenrisúlf	f ɛ n r ɪ s u l v
fer	f ɛː r
Ferdinand	f ɛ r t ɪ n a n t
ferð	f ɛ r ð
ferða	f ɛ r ð a
ferðaðist	f ɛ r ð a ð ɪ s t
ferðafélag	f ɛ r ð a f j ɛː l a ɣ
ferðafélaga	f ɛ r ð a f j ɛː l a ɣ a
ferðafélagar	f ɛ r ð a f j ɛː l a ɣ a r
ferðafélagi	f ɛ r ð a f j ɛː l ai j ɪ
ferðafélags	f ɛ r ð a f j ɛː l a x s
ferðafólk	f ɛ r ð a f ou l̥ k
ferðafólki	f ɛ r ð a f ou l̥ c ɪ
ferðalag	f ɛ r ð a l aː ɣ
ferðalaga	f ɛ r ð a l aː ɣ a
ferðalagi	f ɛ r ð a l ai j ɪ
ferðalagið	f ɛ r ð a l ai j ɪ ð
ferðalaginu	f ɛ r ð a l ai j ɪ n ʏ
ferðalagsins	f ɛ r ð a l a x s ɪ n s
ferðalang	f ɛ r ð a l au ŋ k
ferðalanga	f ɛ r ð a l au ŋ k a
ferðalangar	f ɛ r ð a l au ŋ k a r
ferðalangarnir	f ɛ r ð a l au ŋ k a t n ɪ r
ferðalangur	f ɛ r ð a l au ŋ k ʏ r
ferðalög	f ɛ r ð a l œː ɣ
ferðalögin	f ɛ r ð a l œy j ɪ n
ferðalögum	f ɛ r ð a l œː ɣ ʏ m
ferðalöngum	f ɛ r ð a l œy ŋ k ʏ m
ferðamaður	f ɛ r ð a m aː ð ʏ r
ferðamanna	f ɛ r ð a m a n a
ferðamál	f ɛ r ð a m auː l
ferðamála	f ɛ r ð a m auː l a
ferðamálafulltrúi	f ɛ r ð a m au l a f ʏ t l̥ t r u ɪ
ferðamálaráð	f ɛ r ð a m au l a r auː ð
ferðamálaráðs	f ɛ r ð a m au l a r au ð s
ferðamálum	f ɛ r ð a m auː l ʏ m
ferðamenn	f ɛ r ð a m ɛ n
ferðamennirnir	f ɛ r ð a m ɛ n ɪ t n ɪ r
ferðamennsku	f ɛ r ð a m ɛ n s k ʏ
ferðamönnum	f ɛ r ð a m œ n ʏ m
ferðar	f ɛ r ð a r
ferðarinnar	f ɛ r ð a r ɪ n a r
ferðaskrifstofa	f ɛ r ð a s k r ɪ f s t ɔ v a
ferðaskrifstofan	f ɛ r ð a s k r ɪ f s t ɔ v a n
ferðaskrifstofu	f ɛ r ð a s k r ɪ f s t ɔ v ʏ
ferðaskrifstofunnar	f ɛ r ð a s k r ɪ f s t ɔ v ʏ n a r
ferðaskrifstofunni	f ɛ r ð a s k r ɪ f s t ɔ v ʏ n ɪ
ferðaskrifstofur	f ɛ r ð a s k r ɪ f s t ɔ v ʏ r
